addresstype,city,dt,summary,temp_min,temp_max,temp_day,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,humidity,clouds,pop,rain,uvi,wind_speed
town,Bayeux,2024-06-26 14:00:00,Expect a day of partly cloudy with rain,14.27,20.86,20.86,20.99,14.23,15.11,17.31,76,99,1.0,6.93,7.0,9.02
town,Bayeux,2024-06-27 14:00:00,Expect a day of partly cloudy with rain,12.23,16.8,16.37,16.13,11.86,14.31,12.72,79,93,0.76,1.71,7.0,8.12
town,Bayeux,2024-06-28 14:00:00,There will be partly cloudy today,12.74,17.9,17.53,17.06,12.49,16.41,13.42,66,84,0.0,,7.0,4.78
town,Bayonne,2024-06-21 14:00:00,Expect a day of partly cloudy with rain,15.7,19.52,17.82,18.01,15.6,18.41,17.01,90,88,1.0,8.03,7.56,7.69
town,Bayonne,2024-06-22 14:00:00,"You can expect partly cloudy in the morning, with rain in the afternoon",14.51,19.85,19.25,19.11,16.72,17.59,16.33,72,100,1.0,0.63,7.12,5.09
town,Bayonne,2024-06-23 14:00:00,Expect a day of partly cloudy with rain,16.3,19.98,19.54,19.61,16.18,19.01,17.47,79,93,1.0,4.3,6.22,4.11
town,Bayonne,2024-06-24 14:00:00,There will be clear sky today,13.33,23.35,23.35,23.23,18.03,21.84,14.37,57,0,0.0,,9.03,2.99
town,Bayonne,2024-06-25 14:00:00,Expect a day of partly cloudy with rain,15.8,21.85,21.85,21.97,19.11,19.86,16.99,72,6,1.0,1.33,7.87,5.11
town,Bayonne,2024-06-26 14:00:00,"You can expect rain in the morning, with clearing in the afternoon",15.73,19.28,18.9,18.91,15.5,18.37,17.37,79,90,1.0,7.15,8.0,6.2
town,Bayonne,2024-06-27 14:00:00,Expect a day of partly cloudy with rain,14.83,18.03,17.2,16.75,15.0,16.5,14.74,68,81,1.0,8.16,8.0,6.84
town,Bayonne,2024-06-28 14:00:00,"You can expect rain in the morning, with partly cloudy in the afternoon",15.03,19.11,18.9,18.62,14.76,17.83,15.36,68,86,1.0,4.74,8.0,6.06
town,Biarritz,2024-06-21 14:00:00,Expect a day of partly cloudy with rain,16.52,19.24,17.86,17.97,16.49,18.34,17.09,87,93,1.0,8.3,7.74,9.2
town,Biarritz,2024-06-22 14:00:00,"You can expect partly cloudy in the morning, with rain in the afternoon",15.56,19.32,19.16,19.01,17.34,18.01,16.7,72,100,1.0,0.66,6.45,5.61
town,Biarritz,2024-06-23 14:00:00,Expect a day of partly cloudy with rain,17.32,19.5,18.94,19.0,17.2,18.99,17.92,81,94,1.0,5.06,7.56,4.15
town,Biarritz,2024-06-24 14:00:00,There will be clear sky today,14.59,22.01,22.01,21.89,18.65,21.0,15.04,62,0,0.0,,8.9,4.05
town,Biarritz,2024-06-25 14:00:00,Expect a day of partly cloudy with rain,16.66,20.84,20.66,20.77,19.33,19.89,17.36,76,6,1.0,1.04,6.46,6.4
town,Biarritz,2024-06-26 14:00:00,"You can expect rain in the morning, with clearing in the afternoon",16.82,19.02,18.87,18.85,16.59,18.4,17.8,78,89,1.0,7.75,7.0,7.45
town,Biarritz,2024-06-27 14:00:00,Expect a day of partly cloudy with rain,15.22,18.11,17.34,16.85,15.94,16.85,15.1,66,83,1.0,8.13,7.0,7.78
town,Biarritz,2024-06-28 14:00:00,Expect a day of partly cloudy with rain,15.79,18.88,18.58,18.27,15.94,17.91,16.12,68,84,1.0,4.77,7.0,7.02
town,Briançon,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,6.9,14.87,12.58,12.3,5.49,12.66,11.54,92,100,1.0,23.95,8.58,3.0
town,Briançon,2024-06-22 13:00:00,Expect a day of partly cloudy with rain,5.31,16.44,16.44,15.39,6.92,11.79,4.98,48,66,1.0,2.06,8.02,3.08
town,Briançon,2024-06-23 13:00:00,Expect a day of rain with snow,3.9,7.99,5.07,3.06,3.52,2.29,1.08,97,100,1.0,16.57,8.78,3.48
town,Briançon,2024-06-24 13:00:00,Expect a day of partly cloudy with rain,3.13,11.11,8.85,7.45,6.46,8.1,3.21,91,86,1.0,2.89,10.04,2.76
town,Briançon,2024-06-25 13:00:00,"You can expect partly cloudy in the morning, with rain in the afternoon",5.18,15.33,15.33,14.59,9.42,12.2,9.09,64,62,1.0,4.29,10.29,1.69
town,Briançon,2024-06-26 13:00:00,Expect a day of partly cloudy with rain,8.97,15.43,15.2,14.42,10.59,12.46,10.03,63,97,1.0,3.48,11.0,2.56
town,Briançon,2024-06-27 13:00:00,There will be rain today,5.75,16.79,16.79,15.57,3.61,9.43,10.2,40,62,1.0,10.47,11.0,2.97
town,Briançon,2024-06-28 13:00:00,Expect a day of partly cloudy with rain,4.63,10.94,10.41,9.05,2.03,6.03,3.47,59,99,1.0,0.87,11.0,3.79
town,Carcassonne,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,15.27,23.31,19.84,19.66,16.98,22.0,16.22,68,62,1.0,0.35,4.82,8.73
town,Carcassonne,2024-06-22 13:00:00,Expect a day of partly cloudy with rain,13.41,21.96,21.1,20.78,16.04,18.92,13.6,58,56,0.73,0.53,6.05,8.58
town,Carcassonne,2024-06-23 13:00:00,Expect a day of partly cloudy with rain,14.42,23.65,20.87,20.53,16.31,22.08,14.58,58,43,1.0,3.49,5.11,8.97
town,Carcassonne,2024-06-24 13:00:00,There will be clear sky today,13.37,27.06,26.24,26.24,18.84,25.33,13.46,41,0,0.0,,9.23,4.97
town,Carcassonne,2024-06-25 13:00:00,"You can expect clear sky in the morning, with partly cloudy in the afternoon",16.35,30.33,29.37,28.71,21.21,26.56,18.55,37,0,0.0,,9.03,4.4
town,Carcassonne,2024-06-26 13:00:00,Expect a day of partly cloudy with rain,16.18,19.62,18.41,18.71,16.2,16.7,18.69,92,100,1.0,14.82,10.0,6.02
town,Carcassonne,2024-06-27 13:00:00,Expect a day of partly cloudy with rain,13.98,18.66,13.98,13.76,13.68,17.29,14.13,89,75,0.6,1.14,10.0,8.76
town,Carcassonne,2024-06-28 13:00:00,Expect a day of partly cloudy with rain,11.75,21.92,20.94,20.4,14.38,18.24,12.95,50,55,0.36,0.51,10.0,10.0
village,Cassis,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,20.0,23.03,21.36,21.48,22.04,22.27,20.86,74,6,1.0,1.04,7.4,8.7
village,Cassis,2024-06-22 13:00:00,"The day will start with clear sky through the late morning hours, transitioning to partly cloudy",18.84,24.05,22.96,22.67,19.35,22.49,18.58,52,24,0.0,,7.96,11.21
village,Cassis,2024-06-23 13:00:00,Expect a day of partly cloudy with rain,15.93,21.25,20.91,20.41,15.77,16.26,17.15,52,30,1.0,3.39,8.59,14.94
village,Cassis,2024-06-24 13:00:00,Expect a day of partly cloudy with clear spells,16.05,21.08,21.08,20.76,19.44,20.4,16.69,58,28,0.84,,8.9,3.16
village,Cassis,2024-06-25 13:00:00,"You can expect partly cloudy in the morning, with clearing in the afternoon",19.07,21.22,21.22,21.07,19.98,20.88,19.44,64,100,0.0,,9.09,3.21
village,Cassis,2024-06-26 13:00:00,"There will be clear sky until morning, then partly cloudy",19.05,21.93,21.93,22.14,20.84,21.19,19.86,75,96,0.0,,10.0,5.52
village,Cassis,2024-06-27 13:00:00,Expect a day of partly cloudy with rain,19.09,22.22,22.1,21.78,19.04,19.9,19.4,54,100,0.2,0.15,10.0,11.26
village,Cassis,2024-06-28 13:00:00,Expect a day of partly cloudy with clear spells,15.98,21.52,20.94,20.37,17.77,20.01,15.15,49,5,0.0,,10.0,13.03
village,Collioure,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,16.9,24.91,23.91,23.69,19.89,24.45,19.16,51,55,0.62,0.65,7.16,4.65
village,Collioure,2024-06-22 13:00:00,There will be partly cloudy today,16.95,25.74,25.58,25.45,18.91,22.39,17.27,48,24,0.2,,8.13,5.53
village,Collioure,2024-06-23 13:00:00,Expect a day of partly cloudy with rain,17.65,25.78,22.39,22.15,19.53,23.79,17.65,56,7,1.0,1.64,8.86,11.31
village,Collioure,2024-06-24 13:00:00,"You can expect partly cloudy in the morning, with clearing in the afternoon",17.72,24.97,24.97,24.75,20.42,24.1,18.38,47,54,0.0,,9.13,6.56
village,Collioure,2024-06-25 13:00:00,Expect a day of partly cloudy with rain,18.84,26.13,23.46,23.66,21.25,23.59,20.7,69,28,0.81,0.89,8.83,3.28
village,Collioure,2024-06-26 13:00:00,"There will be partly cloudy until morning, then rain",17.59,21.21,21.21,21.58,18.14,17.83,20.38,84,100,1.0,13.11,9.0,4.09
village,Collioure,2024-06-27 13:00:00,Expect a day of partly cloudy with rain,16.59,20.07,20.07,19.75,17.19,17.89,16.39,62,100,1.0,1.44,9.0,8.28
village,Collioure,2024-06-28 13:00:00,Expect a day of partly cloudy with clear spells,14.76,24.33,24.33,23.78,17.72,20.61,14.91,37,31,0.0,,9.0,6.58
town,Colmar,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,15.65,23.03,19.59,19.95,15.73,19.54,18.37,90,100,1.0,14.93,5.98,3.83
town,Colmar,2024-06-22 13:00:00,Expect a day of partly cloudy with rain,13.45,17.92,15.03,14.94,13.33,17.02,14.94,90,100,1.0,5.84,2.86,2.39
town,Colmar,2024-06-23 13:00:00,Expect a day of partly cloudy with rain,11.28,21.77,20.54,20.27,15.49,19.89,12.38,62,48,1.0,0.48,7.92,5.6
town,Colmar,2024-06-24 13:00:00,"You can expect partly cloudy in the morning, with rain in the afternoon",13.74,23.79,23.59,23.7,17.27,20.87,15.44,65,40,1.0,2.38,8.83,5.7
town,Colmar,2024-06-25 13:00:00,Expect a day of partly cloudy with rain,16.54,24.17,24.17,24.31,18.35,21.4,17.47,64,89,1.0,3.08,8.49,3.21
town,Colmar,2024-06-26 13:00:00,Expect a day of partly cloudy with rain,16.5,24.4,24.35,24.82,17.89,21.14,19.12,76,67,1.0,13.02,9.0,3.23
town,Colmar,2024-06-27 13:00:00,There will be rain today,13.94,18.35,18.35,18.38,13.9,14.67,16.62,82,100,1.0,9.24,9.0,1.96
town,Colmar,2024-06-28 13:00:00,There will be rain today,12.52,17.04,17.04,16.73,13.42,14.85,13.9,74,99,1.0,3.48,9.0,1.54
city,Dijon,2024-06-21 13:00:00,Expect a day of partly cloudy with rain,14.44,20.28,17.4,17.65,14.37,19.01,17.08,94,99,1.0,11.12,6.24,6.7
city,Dijon,2024-06-22 13:00:00,Expect a day of partly cloudy with rain,13.08,17.62,16.56,16.36,12.85,15.51,13.16,80,95,1.0,5.52,5.06,6.15
city,Dijon,2024-06-23 13:00:00,"You can expect partly cloudy in the morning, with clearing in the afternoon",10.17,20.33,16.28,16.03,15.15,19.12,10.82,79,85,0.4,,6.89,6.96
city,Dijon,2024-06-24 13:00:00,Expect a day of partly cloudy with rain,12.49,23.24,22.43,22.63,17.54,21.1,13.47,73,13,1.0,1.3,8.9,5.23
