addresstype,city,dt,summary,temp_min,temp_max,temp_day,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,humidity,clouds,pop,rain,uvi,wind_speed
city,Grenoble,2024-06-28 13:00:00,Expect a day of partly cloudy with rain,12.28,19.35,19.35,18.67,12.62,12.98,12.1,51,90,1.0,3.03,9.0,2.96
city,La Rochelle,2024-06-21 14:00:00,Expect a day of partly cloudy with rain,16.71,19.18,18.56,18.77,16.52,17.14,18.68,88,22,0.49,0.18,7.14,8.17
city,La Rochelle,2024-06-22 14:00:00,Expect a day of partly cloudy with rain,15.73,17.19,16.84,16.83,15.58,16.5,16.81,86,100,1.0,6.14,3.68,9.56
city,La Rochelle,2024-06-23 14:00:00,Expect a day of partly cloudy with clear spells,12.87,19.92,18.76,18.34,17.16,18.58,12.79,63,33,0.0,,4.22,5.49
city,La Rochelle,2024-06-24 14:00:00,There will be clear sky today,14.94,23.03,21.81,21.82,19.65,22.99,15.61,68,0,0.0,,8.66,4.26
city,La Rochelle,2024-06-25 14:00:00,Expect a day of partly cloudy with rain,17.16,22.85,22.85,23.15,18.98,20.65,18.07,75,6,0.61,0.88,6.96,6.72
city,La Rochelle,2024-06-26 14:00:00,Expect a day of partly cloudy with rain,16.47,18.28,17.88,17.89,16.08,16.81,17.8,83,100,1.0,0.99,7.0,9.91
city,La Rochelle,2024-06-27 14:00:00,Expect a day of partly cloudy with rain,14.76,17.11,15.98,15.57,14.46,15.93,15.22,74,82,1.0,6.33,7.0,10.71
city,La Rochelle,2024-06-28 14:00:00,"You can expect rain in the morning, with partly cloudy in the afternoon",15.48,17.16,15.7,15.47,16.13,16.94,15.72,82,100,1.0,7.68,7.0,12.31
city,Le Havre,2024-06-21 14:00:00,Expect a day of partly cloudy with clear spells,15.11,17.92,17.3,17.07,15.58,16.94,16.2,76,6,0.0,,7.12,6.25
city,Le Havre,2024-06-22 14:00:00,Expect a day of partly cloudy with rain,13.23,16.05,15.74,15.35,15.16,15.49,15.05,76,38,1.0,4.05,6.67,8.13
city,Le Havre,2024-06-23 14:00:00,There will be clear sky today,15.21,17.46,17.07,16.84,15.35,16.88,15.68,77,6,0.0,,8.31,6.13
